,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,person:164,bird:125,bird:97
not_moving,1,0,0,0,0,0,0,0,0,0,0,0
moving,0,1,1,1,1,1,1,1,1,1,1,1
