,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:799,person:803,person:811,bird:808,bird:820
not_moving,0,0,0,0,0,0,0,0,0,0,0
moving,1,1,1,1,1,1,1,1,1,1,1
