,person:566,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:736,person:778,bird:779,bird:780,bird:747
not_moving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moving,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
