,person:1,person:2,person:3,person:5,person:119,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,person:66,bird:306
not_moving,0,0,0,0,0,0,0,0,0,0,0,0,0
moving,1,1,1,1,1,1,1,1,1,1,1,1,1
