,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,backpack:137,person:164,bird:160,bird:177,bird:97
not_moving,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moving,1,1,1,1,1,1,1,1,1,1,1,1,1,1
