,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,person:4
not_moving,0,0,0,0,0,0,0,0,0,0,0
moving,1,1,1,1,1,1,1,1,1,1,1
