,person:641,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803
not_moving,0,0,0,0,0,0,0,0,0,0,0,0,0
moving,1,1,1,1,1,1,1,1,1,1,1,1,1
