,person:1,person:2,person:3,person:5,person:119,backpack:137,person:4,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,bird:392,bird:306,bird:387
not_moving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moving,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
