,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,person:897,handbag:838
person:648,0,836,1813,732,2011,2258,1487,1291,1767,164,336
person:652,836,0,2650,109,2848,3095,2324,457,1391,676,534
person:703,1813,2650,0,2546,201,451,339,3104,3267,1974,2129
handbag:723,732,109,2546,0,2744,2990,2219,558,1386,574,442
person:778,2011,2848,201,2744,0,250,528,3302,3434,2172,2328
person:675,2258,3095,451,2990,250,0,771,3547,3645,2419,2577
person:803,1487,2324,339,2219,528,771,0,2776,2933,1649,1808
person:811,1291,457,3104,558,3302,3547,2776,0,1300,1132,991
bird:873,1767,1391,3267,1386,3434,3645,2933,1300,0,1696,1686
person:897,164,676,1974,574,2172,2419,1649,1132,1696,0,175
handbag:838,336,534,2129,442,2328,2577,1808,991,1686,175,0
