,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,handbag:137,bird:195,bird:207,bird:201,bird:161,bird:125
person:1,0,923,2496,1605,1348,2222,2785,3373,2610,1640,779,2427,1993,1072
person:2,923,0,1578,682,428,1305,1867,2457,1689,1083,1228,1618,1237,971
person:3,2496,1578,0,901,1149,274,289,879,146,1449,2575,777,975,2035
person:4,1605,682,901,0,261,634,1189,1781,1007,1049,1798,1119,885,1358
person:5,1348,428,1149,261,0,877,1438,2029,1262,959,1547,1252,933,1143
person:9,2222,1305,274,634,877,0,563,1151,401,1235,2310,742,806,1782
person:66,2785,1867,289,1189,1438,563,0,591,200,1683,2852,891,1184,2300
person:119,3373,2457,879,1781,2029,1151,591,0,781,2173,3406,1265,1657,2834
handbag:137,2610,1689,146,1007,1262,401,200,781,0,1595,2712,899,1119,2177
bird:195,1640,1083,1449,1049,959,1235,1683,2173,1595,0,1332,953,517,719
bird:207,779,1228,2575,1798,1547,2310,2852,3406,2712,1332,0,2266,1813,612
bird:201,2427,1618,777,1119,1252,742,891,1265,899,953,2266,0,454,1661
bird:161,1993,1237,975,885,933,806,1184,1657,1119,517,1813,454,0,1210
bird:125,1072,971,2035,1358,1143,1782,2300,2834,2177,719,612,1661,1210,0
