,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,handbag:137,bird:195,bird:207,bird:201,bird:161,bird:125
person:1,0,922,2489,1603,1348,2223,2780,3376,2607,1598,745,2414,1940,1062
person:2,922,0,1572,681,428,1307,1863,2461,1687,1064,1240,1613,1193,1015
person:3,2489,1572,0,897,1143,267,290,889,147,1486,2607,810,1004,2094
person:4,1603,681,897,0,260,637,1186,1786,1006,1065,1824,1129,867,1419
person:5,1348,428,1143,260,0,878,1434,2032,1259,962,1573,1254,901,1202
person:9,2223,1307,267,637,878,0,557,1154,398,1273,2347,767,827,1847
person:66,2780,1863,290,1186,1434,557,0,599,198,1722,2885,922,1218,2358
person:119,3376,2461,889,1786,2032,1154,599,0,787,2223,3450,1300,1706,2899
handbag:137,2607,1687,147,1006,1259,398,198,787,0,1634,2745,931,1149,2238
bird:195,1598,1064,1486,1065,962,1273,1722,2223,1634,0,1333,977,517,723
bird:207,745,1240,2607,1824,1573,2347,2885,3450,2745,1333,0,2293,1807,615
bird:201,2414,1613,810,1129,1254,767,922,1300,931,977,2293,0,488,1695
bird:161,1940,1193,1004,867,901,827,1218,1706,1149,517,1807,488,0,1217
bird:125,1062,1015,2094,1419,1202,1847,2358,2899,2238,723,615,1695,1217,0
