,person:2,person:3,person:5,person:119,backpack:137,person:377,person:468,bird:514,bird:522,bird:524
person:2,0,1400,414,2489,1765,2761,760,2557,1823,2202
person:3,1400,0,986,1090,412,1364,640,1338,945,999
person:5,414,986,0,2075,1354,2346,346,2177,1486,1819
person:119,2489,1090,2075,0,749,277,1729,973,1362,909
backpack:137,1765,412,1354,749,0,1007,1015,1283,1160,1005
person:377,2761,1364,2346,277,1007,0,2002,1099,1602,1112
person:468,760,640,346,1729,1015,2002,0,1861,1228,1504
bird:514,2557,1338,2177,973,1283,1099,1861,0,828,357
bird:522,1823,945,1486,1362,1160,1602,1228,828,0,543
bird:524,2202,999,1819,909,1005,1112,1504,357,543,0
