,person:3,person:119,person:377,person:468,person:566,person:583,person:587,person:596,bird:554,bird:537,bird:625,bird:615
person:3,0,1966,2399,654,2713,2190,2818,1000,2373,1931,1476,1108
person:119,1966,0,435,2618,749,223,858,972,1356,1178,2909,2824
person:377,2399,435,0,3051,329,213,446,1402,1468,1415,3316,3252
person:468,654,2618,3051,0,3366,2842,3472,1649,2959,2519,1400,892
person:566,2713,749,329,3366,0,526,120,1721,1505,1548,3567,3532
person:583,2190,223,213,2842,526,0,637,1195,1375,1267,3108,3038
person:587,2818,858,446,3472,120,637,0,1829,1510,1586,3642,3620
person:596,1000,972,1402,1649,1721,1195,1829,0,1722,1327,2150,1956
bird:554,2373,1356,1468,2959,1505,1375,1510,1722,0,442,2563,2732
bird:537,1931,1178,1415,2519,1548,1267,1586,1327,442,0,2206,2329
bird:625,1476,2909,3316,1400,3567,3108,3642,2150,2563,2206,0,524
bird:615,1108,2824,3252,892,3532,3038,3620,1956,2732,2329,524,0
