,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:86,bird:97,bird:88
person:1,0,872,2593,1932,1351,2261,3043,3412,1446,2853,1015
person:2,872,0,1725,1070,481,1394,2174,2548,1310,2049,989
person:3,2593,1725,0,664,1243,332,450,825,2208,722,2223
person:4,1932,1070,664,0,591,334,1114,1480,1656,1052,1602
person:5,1351,481,1243,591,0,912,1692,2066,1413,1603,1218
person:9,2261,1394,332,334,912,0,782,1154,1937,859,1918
person:66,3043,2174,450,1114,1692,782,0,390,2600,767,2648
person:73,3412,2548,825,1480,2066,1154,390,0,2874,867,2961
bird:86,1446,1310,2208,1656,1413,1937,2600,2874,0,2074,430
bird:97,2853,2049,722,1052,1603,859,767,867,2074,0,2228
bird:88,1015,989,2223,1602,1218,1918,2648,2961,430,2228,0
