,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:679
person:119,0,410,924,1018,505,1727,2420,661,1688,1118,636,2177
person:377,410,0,521,617,914,2135,2828,1071,2054,708,229,2572
person:566,924,521,0,97,1429,2651,3344,1577,2481,222,291,3038
person:587,1018,617,97,0,1524,2746,3438,1670,2557,169,388,3121
person:641,505,914,1429,1524,0,1222,1914,192,1323,1622,1141,1730
person:648,1727,2135,2651,2746,1222,0,692,1087,1112,2842,2363,956
person:652,2420,2828,3344,3438,1914,692,0,1774,1485,3535,3055,1001
backpack:658,661,1071,1577,1670,192,1087,1774,0,1134,1778,1294,1542
bird:672,1688,2054,2481,2557,1323,1112,1485,1134,0,2701,2241,650
person:673,1118,708,222,169,1622,2842,3535,1778,2701,0,483,3254
person:675,636,229,291,388,1141,2363,3055,1294,2241,483,0,2778
bird:679,2177,2572,3038,3121,1730,956,1001,1542,650,3254,2778,0
