,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,handbag:137,bird:201,bird:168,bird:125,bird:186
person:1,0,925,2472,1591,1353,2224,2765,3394,2611,2281,916,891,1362
person:2,925,0,1552,665,430,1305,1845,2475,1687,1503,965,1219,801
person:3,2472,1552,0,893,1122,248,293,923,169,894,2142,2472,1463
person:4,1591,665,893,0,243,651,1186,1816,1022,1086,1428,1738,899
person:5,1353,430,1122,243,0,875,1415,2045,1258,1171,1209,1512,758
person:9,2224,1305,248,651,875,0,540,1170,401,816,1907,2236,1241
person:66,2765,1845,293,1186,1415,540,0,630,197,1025,2410,2741,1719
person:119,3394,2475,923,1816,2045,1170,630,0,802,1472,3000,3330,2297
handbag:137,2611,1687,169,1022,1258,401,197,802,0,1042,2306,2636,1631
bird:201,2281,1503,894,1086,1171,816,1025,1472,1042,0,1649,1967,959
bird:168,916,965,2142,1428,1209,1907,2410,3000,2306,1649,0,331,707
bird:125,891,1219,2472,1738,1512,2236,2741,3330,2636,1967,331,0,1035
bird:186,1362,801,1463,899,758,1241,1719,2297,1631,959,707,1035,0
