,person:566,person:641,person:648,person:652,person:673,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:736,person:778,bird:779,bird:780,bird:747,bird:783
person:566,0,247,2449,3377,115,1067,3310,319,3580,2140,3032,2604,529,1754,1519,3511,3218
person:641,247,0,2205,3132,362,820,3066,134,3354,1940,2812,2384,282,1580,1328,3280,2995
person:648,2449,2205,0,927,2565,1392,861,2142,1356,1065,1020,793,1927,1394,1314,1224,1112
person:652,3377,3132,927,0,3492,2318,66,3068,885,1711,1026,1184,2855,2147,2147,712,940
person:673,115,362,2565,3492,0,1183,3425,430,3689,2240,3139,2711,645,1845,1617,3621,3325
person:703,1067,820,1392,2318,1183,0,2252,777,2607,1353,2098,1681,538,1158,867,2516,2268
handbag:723,3310,3066,861,66,3425,2252,0,3002,892,1655,995,1134,2788,2087,2084,719,920
backpack:119,319,134,2142,3068,430,777,3002,0,3261,1827,2713,2284,268,1455,1210,3191,2898
bird:708,3580,3354,1356,885,3689,2607,892,3261,0,1538,577,991,3100,2011,2130,173,380
bird:753,2140,1940,1065,1711,2240,1353,1655,1827,1538,0,961,569,1728,474,623,1520,1158
bird:757,3032,2812,1020,1026,3139,2098,995,2713,577,961,0,428,2568,1434,1560,578,196
bird:736,2604,2384,793,1184,2711,1681,1134,2284,991,569,428,0,2142,1041,1139,956,616
person:778,529,282,1927,2855,645,538,2788,268,3100,1728,2568,2142,0,1409,1137,3020,2747
bird:779,1754,1580,1394,2147,1845,1158,2087,1455,2011,474,1434,1041,1409,0,291,1994,1630
bird:780,1519,1328,1314,2147,1617,867,2084,1210,2130,623,1560,1139,1137,291,0,2091,1753
bird:747,3511,3280,1224,712,3621,2516,719,3191,173,1520,578,956,3020,1994,2091,0,394
bird:783,3218,2995,1112,940,3325,2268,920,2898,380,1158,196,616,2747,1630,1753,394,0
