,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,backpack:137,person:164,bird:160,bird:97,bird:177,bird:180
person:1,0,884,2454,1617,1441,2205,2905,3396,3249,2633,2670,904,1343,1129,2351
person:2,884,0,1575,749,559,1327,2026,2524,2373,1750,1820,1029,1002,813,1618
person:3,2454,1575,0,840,1016,249,451,953,798,204,422,2231,1736,1756,936
person:4,1617,749,840,0,219,592,1290,1779,1632,1028,1074,1450,1065,1012,1000
person:5,1441,559,1016,219,0,768,1467,1966,1814,1191,1282,1383,1087,990,1209
person:9,2205,1327,249,592,768,0,700,1198,1045,439,576,2000,1528,1532,890
person:66,2905,2026,451,1290,1467,700,0,514,350,293,457,2655,2132,2174,1152
person:73,3396,2524,953,1779,1966,1198,514,0,170,807,778,3083,2526,2596,1417
person:119,3249,2373,798,1632,1814,1045,350,170,0,642,676,2964,2419,2479,1349
backpack:137,2633,1750,204,1028,1191,439,293,807,642,0,479,2433,1940,1960,1095
person:164,2670,1820,422,1074,1282,576,457,778,676,479,0,2306,1748,1820,697
bird:160,904,1029,2231,1450,1383,2000,2655,3083,2964,2433,2306,0,608,486,1796
bird:97,1343,1002,1736,1065,1087,1528,2132,2526,2419,1940,1748,608,0,220,1194
bird:177,1129,813,1756,1012,990,1532,2174,2596,2479,1960,1820,486,220,0,1325
bird:180,2351,1618,936,1000,1209,890,1152,1417,1349,1095,697,1796,1194,1325,0
