,person:3,person:119,person:377,person:468,person:566,person:583,person:587,person:596,bird:554,bird:537,bird:625,bird:615
person:3,0,1875,2311,716,2617,2101,2726,904,2339,1920,1443,1072
person:119,1875,0,437,2589,744,226,857,977,1350,1178,2782,2695
person:377,2311,437,0,3024,323,212,444,1410,1444,1395,3187,3123
person:468,716,2589,3024,0,3333,2815,3442,1614,2979,2558,1393,877
person:566,2617,744,323,3333,0,520,121,1722,1463,1506,3426,3394
person:583,2101,226,212,2815,520,0,635,1203,1367,1263,2984,2913
person:587,2726,857,444,3442,121,635,0,1834,1467,1544,3504,3485
person:596,904,977,1410,1614,1722,1203,1834,0,1750,1375,2034,1829
bird:554,2339,1350,1444,2979,1463,1367,1467,1750,0,421,2480,2658
bird:537,1920,1178,1395,2558,1506,1263,1544,1375,421,0,2129,2265
bird:625,1443,2782,3187,1393,3426,2984,3504,2034,2480,2129,0,523
bird:615,1072,2695,3123,877,3394,2913,3485,1829,2658,2265,523,0
