,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,bird:877,bird:885
person:648,0,864,1771,767,2002,2233,1468,1319,1065,1699,655
person:652,864,0,2635,101,2867,3098,2332,458,1189,2523,763
person:703,1771,2635,0,2538,234,470,318,3091,2312,713,2202
handbag:723,767,101,2538,0,2769,3000,2234,552,1120,2421,679
person:778,2002,2867,234,2769,0,235,538,3322,2503,777,2417
person:675,2233,3098,470,3000,235,0,766,3552,2697,891,2632
person:803,1468,2332,318,2234,538,766,0,2786,1999,600,1884
person:811,1319,458,3091,552,3322,3552,2786,0,1427,2952,1093
bird:873,1065,1189,2312,1120,2503,2697,1999,1427,0,1891,477
bird:877,1699,2523,713,2421,777,891,600,2952,1891,0,1923
bird:885,655,763,2202,679,2417,2632,1884,1093,477,1923,0
