,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:799,person:803,person:811,bird:808,bird:820,bird:824
person:648,0,898,1724,817,1965,2201,1431,1444,1303,1051,1008,784
person:652,898,0,2622,82,2863,3099,1021,2342,409,1155,1470,708
person:703,1724,2622,0,2542,242,482,2934,291,3028,2302,1859,2328
handbag:723,817,82,2542,0,2782,3018,1017,2261,487,1102,1400,653
person:778,1965,2863,242,2782,0,239,3150,523,3267,2507,2048,2553
person:675,2201,3099,482,3018,239,0,3363,757,3503,2710,2240,2775
bird:799,1431,1021,2934,1017,3150,3363,0,2644,988,686,1195,651
person:803,1444,2342,291,2261,523,757,2644,0,2745,2017,1584,2036
person:811,1303,409,3028,487,3267,3503,988,2745,0,1350,1750,946
bird:808,1051,1155,2302,1102,2507,2710,686,2017,1350,0,509,449
bird:820,1008,1470,1859,1400,2048,2240,1195,1584,1750,509,0,804
bird:824,784,708,2328,653,2553,2775,651,2036,946,449,804,0
