,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:195,person:251,bird:151,bird:280,bird:190,bird:272
person:1,0,871,2465,1571,1331,2218,2782,3393,2626,2025,1066,1112,1843,2627,1294,2191
person:2,871,0,1599,702,464,1354,1929,2529,1756,1424,1576,339,1202,1851,724,1445
person:3,2465,1599,0,897,1136,247,375,929,187,1273,2894,1373,1169,763,1430,820
person:4,1571,702,897,0,241,653,1236,1827,1054,1124,2119,521,904,1257,767,932
person:5,1331,464,1136,241,0,890,1467,2065,1295,1163,1906,308,933,1433,648,1063
person:9,2218,1354,247,653,890,0,589,1174,421,1136,2660,1126,998,803,1201,718
person:66,2782,1929,375,1236,1467,589,0,633,347,1328,3121,1673,1287,606,1657,866
person:119,3393,2529,929,1827,2065,1174,633,0,787,1918,3754,2292,1904,1113,2290,1470
backpack:137,2626,1756,187,1054,1295,421,347,787,0,1448,3079,1545,1352,868,1616,988
bird:201,2025,1424,1273,1124,1163,1136,1328,1918,1448,0,1972,1087,229,828,742,465
bird:195,1066,1576,2894,2119,1906,2660,3121,3754,3079,1972,0,1600,1892,2764,1468,2328
person:251,1112,339,1373,521,308,1126,1673,2292,1545,1087,1600,0,864,1535,422,1117
bird:151,1843,1202,1169,904,933,998,1287,1904,1352,229,1892,864,0,872,549,440
bird:280,2627,1851,763,1257,1433,803,606,1113,868,828,2764,1535,872,0,1369,446
bird:190,1294,724,1430,767,648,1201,1657,2290,1616,742,1468,422,549,1369,0,922
bird:272,2191,1445,820,932,1063,718,866,1470,988,465,2328,1117,440,446,922,0
