,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,person:587,person:596,person:602,bird:554,person:578,bird:608,bird:615,bird:537
person:3,0,1506,1944,846,1482,2236,1726,2341,521,1261,2077,431,1522,726,1725
person:119,1506,0,437,2349,1986,732,220,842,995,2767,1137,1934,2922,1938,966
person:377,1944,437,0,2785,2315,309,221,424,1430,3204,1146,2370,3350,2360,1109
person:468,846,2349,2785,0,1866,3080,2570,3187,1355,422,2863,415,987,912,2507
bird:555,1482,1986,2315,1866,0,2484,2126,2542,1590,2087,1623,1648,1641,955,1357
person:566,2236,732,309,3080,2484,0,512,115,1728,3497,1131,2665,3612,2615,1190
person:583,1726,220,221,2570,2126,512,0,622,1216,2987,1091,2154,3130,2140,989
person:587,2341,842,424,3187,2542,115,622,0,1836,3602,1132,2771,3704,2705,1225
person:596,521,995,1430,1355,1590,1728,1216,1836,0,1775,1720,941,2016,1110,1390
person:602,1261,2767,3204,422,2087,3497,2987,3602,1775,0,3230,834,820,1172,2875
bird:554,2077,1137,1146,2863,1623,1131,1091,1132,1720,3230,0,2478,3086,2124,356
person:578,431,1934,2370,415,1648,2665,2154,2771,941,834,2478,0,1218,724,2123
bird:608,1522,2922,3350,987,1641,3612,3130,3704,2016,820,3086,1218,0,1000,2749
bird:615,726,1938,2360,912,955,2615,2140,2705,1110,1172,2124,724,1000,0,1777
bird:537,1725,966,1109,2507,1357,1190,989,1225,1390,2875,356,2123,2749,1777,0
