,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,bird:383,person:468,bird:482,bird:470,bird:487,bird:392
person:2,0,1661,472,2526,1773,111,759,2793,2811,1655,1292,652,1283,1039,1447
person:3,1661,0,1189,864,153,1592,2420,1133,1438,2790,369,1969,1780,2084,966
person:5,472,1189,0,2053,1302,408,1230,2322,2382,1897,820,916,1227,1199,1093
person:119,2526,864,2053,0,761,2456,3284,272,1124,3557,1233,2807,2488,2874,1596
handbag:137,1773,153,1302,761,0,1709,2532,1023,1460,2940,487,2107,1934,2232,1115
handbag:363,111,1592,408,2456,1709,0,831,2725,2712,1611,1224,602,1182,970,1339
person:370,759,2420,1230,3284,2532,831,0,3553,3510,1471,2051,800,1643,1163,2097
person:377,2793,1133,2322,272,1023,2725,3553,0,1195,3822,1501,3080,2748,3143,1853
bird:443,2811,1438,2382,1124,1460,2712,3510,1195,0,3298,1704,2836,2217,2738,1430
bird:383,1655,2790,1897,3557,2940,1611,1471,3822,3298,0,2492,1009,1095,718,1983
person:468,1292,369,820,1233,487,1224,2051,1501,1704,2492,0,1626,1541,1777,853
bird:482,652,1969,916,2807,2107,602,800,3080,2836,1009,1626,0,842,414,1405
bird:470,1283,1780,1227,2488,1934,1182,1643,2748,2217,1095,1541,842,0,560,896
bird:487,1039,2084,1199,2874,2232,970,1163,3143,2738,718,1777,414,560,0,1344
bird:392,1447,966,1093,1596,1115,1339,2097,1853,1430,1983,853,1405,896,1344,0
