,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:114,bird:129
person:1,0,870,2480,1819,1440,2194,2939,3397,3225,2612,855,1251
person:2,870,0,1615,959,572,1328,2073,2539,2362,1743,924,694
person:3,2480,1615,0,663,1043,287,459,935,747,159,2179,1484
person:4,1819,959,663,0,395,383,1122,1580,1405,804,1550,880
person:5,1440,572,1043,395,0,756,1501,1970,1790,1172,1287,714
person:9,2194,1328,287,383,756,0,745,1220,1035,420,1924,1239
person:66,2939,2073,459,1122,1501,745,0,505,298,338,2619,1919
person:73,3397,2539,935,1580,1970,1220,505,0,216,838,3005,2306
person:119,3225,2362,747,1405,1790,1035,298,216,0,636,2871,2170
handbag:137,2612,1743,159,804,1172,420,338,838,636,0,2333,1640
bird:114,855,924,2179,1550,1287,1924,2619,3005,2871,2333,0,701
bird:129,1251,694,1484,880,714,1239,1919,2306,2170,1640,701,0
