,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,bird:643,person:648,bird:651,person:652,bird:656,backpack:658,person:663,kite:666
person:119,0,399,829,286,932,824,1884,1335,1194,1796,2094,2451,2119,1499,1037,702
person:377,399,0,440,122,549,1219,2237,1733,1553,2192,2467,2847,2439,1898,651,863
person:566,829,440,0,543,114,1654,2574,2165,1908,2626,2831,3281,2732,2327,210,1087
person:583,286,122,543,0,647,1110,2116,1622,1431,2082,2345,2738,2321,1785,752,766
person:587,932,549,114,647,0,1756,2640,2265,1981,2727,2905,3382,2784,2426,107,1135
person:596,824,1219,1654,1110,1756,0,1380,515,787,972,1477,1628,1722,685,1862,1094
bird:537,1884,2237,2574,2116,2640,1380,0,1168,690,1252,350,1553,401,1091,2743,1528
person:641,1335,1733,2165,1622,2265,515,1168,0,823,462,1147,1116,1560,175,2372,1484
bird:643,1194,1553,1908,1431,1981,787,690,823,0,1152,923,1695,964,857,2086,920
person:648,1796,2192,2626,2082,2727,972,1252,462,1152,0,1096,655,1650,321,2833,1922
bird:651,2094,2467,2831,2345,2905,1477,350,1147,923,1096,0,1270,639,1024,3010,1820
person:652,2451,2847,3281,2738,3382,1628,1553,1116,1695,655,1270,0,1907,961,3488,2539
bird:656,2119,2439,2732,2321,2784,1722,401,1560,964,1650,639,1907,0,1490,2882,1649
backpack:658,1499,1898,2327,1785,2426,685,1091,175,857,321,1024,961,1490,0,2533,1600
person:663,1037,651,210,752,107,1862,2743,2372,2086,2833,3010,3488,2882,2533,0,1232
kite:666,702,863,1087,766,1135,1094,1528,1484,920,1922,1820,2539,1649,1600,1232,0
