,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:799,person:803,person:811,bird:808,bird:820,bird:824,bird:828,bird:830
person:648,0,901,1703,814,1959,2195,1781,1037,1448,1269,889,993,575,1210,1889
person:652,901,0,2604,90,2860,3096,1332,995,2349,374,1364,1663,1024,630,2639
person:703,1703,2604,0,2518,258,496,3228,2406,265,2973,1821,1471,1866,2828,1319
handbag:723,814,90,2518,0,2773,3009,1333,940,2262,456,1282,1575,939,632,2551
person:778,1959,2860,258,2773,0,237,3450,2631,512,3228,2030,1664,2099,3071,1363
person:675,2195,3096,496,3009,237,0,3659,2844,747,3463,2233,1858,2320,3297,1448
bird:791,1781,1332,3228,1333,3450,3659,0,823,2965,1218,1431,1822,1377,702,2663
bird:799,1037,995,2406,940,2631,2844,823,0,2143,1136,642,1038,558,620,1959
person:803,1448,2349,265,2262,512,747,2965,2143,0,2716,1566,1227,1601,2563,1216
person:811,1269,374,2973,456,3228,3463,1218,1136,2716,0,1624,1958,1314,584,2938
bird:808,889,1364,1821,1282,2030,2233,1431,642,1566,1624,0,396,362,1215,1338
bird:820,993,1663,1471,1575,1664,1858,1822,1038,1227,1958,396,0,644,1596,980
bird:824,575,1024,1866,939,2099,2320,1377,558,1601,1314,362,644,0,992,1624
bird:828,1210,630,2828,632,3071,3297,702,620,2563,584,1215,1596,992,0,2553
bird:830,1889,2639,1319,2551,1363,1448,2663,1959,1216,2938,1338,980,1624,2553,0
