,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:745,bird:736,bird:731,bird:756,bird:747
person:566,0,442,2463,3355,951,136,256,1132,3317,465,2822,1559,2238,3419,1960,1698,3052,3064
person:641,442,0,2026,2919,511,576,186,690,2881,124,2439,1236,1870,3030,1594,1310,2631,2657
person:648,2463,2026,0,892,1515,2598,2211,1340,854,2001,930,1318,903,1309,964,954,706,848
person:652,3355,2919,892,0,2407,3491,3104,2232,38,2893,1115,2108,1501,1022,1683,1779,529,735
person:658,951,511,1515,2407,0,1086,697,184,2369,499,1976,904,1434,2557,1171,863,2129,2167
person:673,136,576,2598,3491,1086,0,390,1266,3453,601,2954,1684,2368,3552,2090,1831,3187,3199
person:675,256,186,2211,3104,697,390,0,876,3065,233,2602,1370,2026,3196,1749,1474,2810,2831
person:703,1132,690,1340,2232,184,1266,876,0,2194,683,1849,882,1332,2420,1081,767,1970,2018
handbag:723,3317,2881,854,38,2369,3453,3065,2194,0,2854,1090,2071,1467,1016,1647,1742,503,714
backpack:119,465,124,2001,2893,499,601,233,683,2854,0,2369,1140,1792,2964,1515,1241,2586,2602
bird:708,2822,2439,930,1115,1976,2954,2602,1849,1090,2369,0,1311,596,599,870,1129,586,401
bird:753,1559,1236,1318,2108,904,1684,1370,882,2071,1140,1311,0,715,1908,450,375,1676,1621
bird:757,2238,1870,903,1501,1434,2368,2026,1332,1467,1792,596,715,0,1194,278,571,1014,922
bird:745,3419,3030,1309,1022,2557,3552,3196,2420,1016,2964,599,1908,1194,0,1469,1722,651,461
bird:736,1960,1594,964,1683,1171,2090,1749,1081,1647,1515,870,450,278,1469,0,315,1232,1171
bird:731,1698,1310,954,1779,863,1831,1474,767,1742,1241,1129,375,571,1722,315,0,1389,1373
bird:756,3052,2631,706,529,2129,3187,2810,1970,503,2586,586,1676,1014,651,1232,1389,0,231
bird:747,3064,2657,848,735,2167,3199,2831,2018,714,2602,401,1621,922,461,1171,1373,231,0
