,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:88,bird:79,bird:113,bird:114
person:1,0,872,2559,1923,1404,2233,2991,3415,947,1233,482,1341
person:2,872,0,1692,1061,534,1365,2123,2551,1246,698,733,1285
person:3,2559,1692,0,639,1157,326,431,860,2593,1589,2296,2270
person:4,1923,1061,639,0,531,319,1071,1492,1987,993,1659,1721
person:5,1404,534,1157,531,0,831,1588,2017,1605,719,1191,1466
person:9,2233,1365,326,319,831,0,757,1186,2300,1300,1979,2010
person:66,2991,2123,431,1071,1588,757,0,437,3003,1999,2725,2652
person:73,3415,2551,860,1492,2017,1186,437,0,3378,2381,3132,2993
bird:88,947,1246,2593,1987,1605,2300,3003,3378,0,1004,576,544
bird:79,1233,698,1589,993,719,1300,1999,2381,1004,0,815,753
bird:113,482,733,2296,1659,1191,1979,2725,3132,576,815,0,870
bird:114,1341,1285,2270,1721,1466,2010,2652,2993,544,753,870,0
