,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:808
person:648,0,880,1755,798,1987,2217,1444,1328,1273,208,1688
person:652,880,0,2636,83,2867,3097,2324,450,1024,673,1140
person:703,1755,2636,0,2553,233,468,323,3083,2737,1963,3267
handbag:723,798,83,2553,0,2785,3015,2241,530,1004,590,1162
person:778,1987,2867,233,2785,0,234,546,3314,2942,2194,3477
person:675,2217,3097,468,3015,234,0,773,3544,3143,2424,3683
person:803,1444,2324,323,2241,546,773,0,2770,2416,1650,2944
person:811,1328,450,3083,530,3314,3544,2770,0,1109,1120,991
bird:820,1273,1024,2737,1004,2942,3143,2416,1109,0,1139,555
person:838,208,673,1963,590,2194,2424,1650,1120,1139,0,1514
bird:808,1688,1140,3267,1162,3477,3683,2944,991,555,1514,0
