,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,handbag:84,bird:86,bird:88,bird:97,bird:87
person:1,0,870,2601,1937,1337,2277,3077,3415,1462,1494,1094,2892,864
person:2,870,0,1736,1078,469,1413,2211,2553,605,1222,943,2092,719
person:3,2601,1736,0,669,1266,323,476,820,1139,2001,2096,753,2070
person:4,1937,1078,669,0,611,346,1145,1478,474,1452,1475,1085,1419
person:5,1337,469,1266,611,0,943,1741,2083,155,1255,1114,1658,969
person:9,2277,1413,323,346,943,0,800,1140,816,1736,1799,884,1758
person:66,3077,2211,476,1145,1741,800,0,360,1616,2414,2544,791,2533
person:73,3415,2553,820,1478,2083,1140,360,0,1952,2659,2824,864,2834
handbag:84,1462,605,1139,474,155,816,1616,1952,0,1214,1123,1503,1012
bird:86,1494,1222,2001,1452,1255,1736,2414,2659,1214,0,401,1886,641
bird:88,1094,943,2096,1475,1114,1799,2544,2824,1123,401,0,2117,259
bird:97,2892,2092,753,1085,1658,884,791,864,1503,1886,2117,0,2183
bird:87,864,719,2070,1419,969,1758,2533,2834,1012,641,259,2183,0
