,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:799,person:803,person:811,bird:808,bird:820,bird:824
person:648,0,913,1695,830,1951,2186,1917,1140,1433,1289,905,997,628
person:652,913,0,2608,85,2864,3100,1411,972,2347,380,1288,1622,958
person:703,1695,2608,0,2525,258,495,3373,2548,271,2984,1946,1577,1980
handbag:723,830,85,2525,0,2781,3016,1424,935,2264,460,1217,1543,882
person:778,1951,2864,258,2781,0,236,3597,2776,519,3239,2160,1772,2215
person:675,2186,3100,495,3016,236,0,3806,2989,752,3474,2364,1965,2434
bird:791,1917,1411,3373,1424,3597,3806,0,828,3104,1264,1446,1869,1409
bird:799,1140,972,2548,935,2776,2989,828,0,2279,1073,655,1091,583
person:803,1433,2347,271,2264,519,752,3104,2279,0,2721,1684,1327,1709
person:811,1289,380,2984,460,3239,3474,1264,1073,2721,0,1536,1913,1237
bird:808,905,1288,1946,1217,2160,2364,1446,655,1684,1536,0,435,347
bird:820,997,1622,1577,1543,1772,1965,1869,1091,1327,1913,435,0,675
bird:824,628,958,1980,882,2215,2434,1409,583,1709,1237,347,675,0
