,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:695
person:119,0,405,926,1023,333,1682,2451,418,2422,1125,657,1504
person:377,405,0,529,628,733,2084,2853,823,2806,719,256,1853
person:566,926,529,0,99,1258,2608,3377,1337,3261,236,273,2266
person:587,1023,628,99,0,1355,2705,3474,1433,3343,188,372,2342
person:641,333,733,1258,1355,0,1351,2120,144,2157,1452,988,1311
person:648,1682,2084,2608,2705,1351,0,768,1276,1255,2802,2339,1190
person:652,2451,2853,3377,3474,2120,768,0,2043,1205,3571,3108,1694
backpack:658,418,823,1337,1433,144,1276,2043,0,2025,1542,1072,1167
bird:672,2422,2806,3261,3343,2157,1255,1205,2025,0,3489,3027,1033
person:673,1125,719,236,188,1452,2802,3571,1542,3489,0,470,2500
person:675,657,256,273,372,988,2339,3108,1072,3027,470,0,2051
bird:695,1504,1853,2266,2342,1311,1190,1694,1167,1033,2500,2051,0
