,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,person:164,bird:97,bird:195,bird:207,bird:201,bird:161,bird:125
person:1,0,921,2499,1606,1345,2218,2785,3368,2614,2622,1249,1678,793,2433,2032,1086
person:2,921,0,1582,684,426,1302,1868,2454,1694,1746,1776,1100,1199,1619,1268,931
person:3,2499,1582,0,905,1156,281,285,871,146,456,3051,1411,2535,751,945,1977
person:4,1606,684,905,0,266,629,1189,1776,1011,1135,2324,1042,1765,1114,900,1307
person:5,1345,426,1156,266,0,876,1441,2027,1268,1336,2075,958,1510,1251,957,1089
person:9,2218,1302,281,629,876,0,566,1151,406,572,2792,1203,2267,729,789,1722
person:66,2785,1868,285,1189,1441,566,0,587,196,490,3315,1640,2808,863,1148,2239
person:119,3368,2454,871,1776,2027,1151,587,0,773,870,3842,2123,3356,1236,1611,2770
backpack:137,2614,1694,146,1011,1268,406,196,773,0,542,3192,1558,2672,872,1089,2119
person:164,2622,1746,456,1135,1336,572,490,870,542,0,2983,1254,2517,384,741,1918
bird:97,1249,1776,3051,2324,2075,2792,3315,3842,3192,2983,0,1742,576,2666,2250,1075
bird:195,1678,1100,1411,1042,958,1203,1640,2123,1558,1254,1742,0,1330,923,513,715
bird:207,793,1199,2535,1765,1510,2267,2808,3356,2672,2517,576,1330,0,2233,1808,615
bird:201,2433,1619,751,1114,1251,729,863,1236,872,384,2666,923,2233,0,424,1621
bird:161,2032,1268,945,900,957,789,1148,1611,1089,741,2250,513,1808,424,0,1198
bird:125,1086,931,1977,1307,1089,1722,2239,2770,2119,1918,1075,715,615,1621,1198,0
