,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:679,bird:684
person:119,0,416,924,1019,556,1724,2416,703,1565,1120,636,2051,695
person:377,416,0,515,612,971,2137,2830,1120,1935,711,223,2450,1000
person:566,924,515,0,97,1480,2648,3340,1620,2354,196,292,2905,1392
person:587,1019,612,97,0,1575,2742,3434,1713,2430,101,389,2987,1467
person:641,556,971,1480,1575,0,1167,1860,182,1184,1676,1192,1571,651
person:648,1724,2137,2648,2742,1167,0,693,1039,1113,2844,2359,927,1526
person:652,2416,2830,3340,3434,1860,693,0,1726,1533,3536,3052,1058,2167
backpack:658,703,1120,1620,1713,182,1039,1726,0,1008,1815,1337,1390,609
bird:672,1565,1935,2354,2430,1184,1113,1533,1008,0,2527,2115,622,962
person:673,1120,711,196,101,1676,2844,3536,1815,2527,0,488,3087,1564
person:675,636,223,292,389,1192,2359,3052,1337,2115,488,0,2647,1162
bird:679,2051,2450,2905,2987,1571,927,1058,1390,622,3087,2647,0,1536
bird:684,695,1000,1392,1467,651,1526,2167,609,962,1564,1162,1536,0
