,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877,bird:917,bird:923,bird:922
person:648,0,773,1793,682,1953,2227,1465,1335,198,392,2087,856,1219,1469,737
person:652,773,0,2566,108,2726,3000,2238,565,579,407,2860,1120,1914,1094,1422
person:703,1793,2566,0,2474,161,438,337,3128,1987,2171,301,2049,1047,3014,1326
handbag:723,682,108,2474,0,2634,2907,2145,653,493,340,2767,1018,1808,1065,1316
person:778,1953,2726,161,2634,0,277,492,3288,2148,2332,142,2188,1161,3159,1470
person:675,2227,3000,438,2907,277,0,762,3561,2422,2608,140,2426,1369,3403,1718
person:803,1465,2238,337,2145,492,762,0,2799,1661,1848,621,1721,769,2681,994
person:811,1335,565,3128,653,3288,3561,2799,0,1143,971,3421,1503,2428,1046,1944
person:897,198,579,1987,493,2148,2422,1661,1143,0,195,2282,901,1404,1371,915
handbag:838,392,407,2171,340,2332,2608,1848,971,195,0,2468,1011,1596,1329,1106
person:909,2087,2860,301,2767,142,140,621,3421,2282,2468,0,2293,1245,3268,1582
bird:877,856,1120,2049,1018,2188,2426,1721,1503,901,1011,2293,0,1087,983,729
bird:917,1219,1914,1047,1808,1161,1369,769,2428,1404,1596,1245,1087,0,2070,493
bird:923,1469,1094,3014,1065,3159,3403,2681,1046,1371,1329,3268,983,2070,0,1688
bird:922,737,1422,1326,1316,1470,1718,994,1944,915,1106,1582,729,493,1688,0
