,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,bird:492,bird:474,bird:459,bird:496,bird:453
person:2,0,1649,463,2517,1827,190,760,2793,2522,1177,1496,1552,1104,949,1229,951
person:3,1649,0,1186,868,222,1598,2409,1146,1259,472,2234,733,1426,2052,950,1140
person:5,463,1186,0,2054,1366,439,1223,2330,2113,713,1567,1154,946,1130,887,681
person:119,2517,868,2054,0,705,2464,3277,281,1144,1340,2948,1330,2166,2860,1673,1929
handbag:137,1827,222,1366,705,0,1789,2587,972,1314,658,2456,932,1648,2269,1170,1362
handbag:363,190,1598,439,2464,1789,0,832,2743,2392,1130,1318,1423,919,789,1081,790
person:370,760,2409,1223,3277,2587,832,0,3554,3209,1937,1636,2246,1610,1062,1887,1581
person:377,2793,1146,2330,281,972,2743,3554,0,1289,1617,3217,1599,2441,3140,1949,2209
bird:443,2522,1259,2113,1144,1314,2392,3209,1289,0,1553,2316,970,1702,2456,1323,1632
person:468,1177,472,713,1340,658,1130,1937,1617,1553,0,1914,726,1121,1648,728,799
bird:470,1496,2234,1567,2948,2456,1318,1636,3217,2316,1914,0,1618,807,589,1291,1116
bird:492,1552,733,1154,1330,932,1423,2246,1599,970,726,1618,0,853,1590,383,688
bird:474,1104,1426,946,2166,1648,919,1610,2441,1702,1121,807,853,0,756,493,327
bird:459,949,2052,1130,2860,2269,789,1062,3140,2456,1648,589,1590,756,0,1209,931
bird:496,1229,950,887,1673,1170,1081,1887,1949,1323,728,1291,383,493,1209,0,310
bird:453,951,1140,681,1929,1362,790,1581,2209,1632,799,1116,688,327,931,310,0
