,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:496,bird:470,bird:522,bird:492
person:2,0,1464,471,2499,1759,2803,873,880,1546,2001,1012
person:3,1464,0,992,1036,346,1341,591,1707,2541,873,1284
person:5,471,992,0,2028,1291,2332,401,998,1798,1579,871
person:119,2499,1036,2028,0,764,308,1626,2667,3476,1072,2186
handbag:137,1759,346,1291,764,0,1055,896,2053,2888,992,1628
person:377,2803,1341,2332,308,1055,0,1931,2973,3777,1323,2487
person:468,873,591,401,1626,896,1931,0,1239,2074,1247,939
bird:496,880,1707,998,2667,2053,2973,1239,0,838,1840,517
bird:470,1546,2541,1798,3476,2888,3777,2074,838,0,2570,1290
bird:522,2001,873,1579,1072,992,1323,1247,1840,2570,0,1323
bird:492,1012,1284,871,2186,1628,2487,939,517,1290,1323,0
