,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:873,person:897,handbag:838
person:648,0,839,1808,738,2012,2245,1475,1303,2103,190,367
person:652,839,0,2646,104,2851,3084,2315,468,1645,654,501
person:703,1808,2646,0,2546,206,445,343,3111,3627,1992,2156
handbag:723,738,104,2546,0,2750,2983,2213,566,1664,554,410
person:778,2012,2851,206,2750,0,238,540,3315,3803,2198,2362
person:675,2245,3084,445,2983,238,0,770,3548,3998,2432,2597
person:803,1475,2315,343,2213,540,770,0,2777,3290,1662,1830
person:811,1303,468,3111,566,3315,3548,2777,0,1462,1120,969
bird:873,2103,1645,3627,1664,3803,3998,3290,1462,0,2010,1972
person:897,190,654,1992,554,2198,2432,1662,1120,2010,0,179
handbag:838,367,501,2156,410,2362,2597,1830,969,1972,179,0
