,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,bird:490,bird:491,bird:492,bird:474,bird:459
person:2,0,1666,465,2539,1806,162,745,2811,2675,1259,1440,879,1207,1745,1212,944
person:3,1666,0,1200,872,187,1598,2412,1146,1351,407,2079,1162,2542,656,1203,1935
person:5,465,1200,0,2073,1341,417,1211,2345,2260,793,1465,614,1516,1326,952,1064
person:119,2539,872,2073,0,747,2469,3285,277,1130,1279,2784,1970,3364,1137,1916,2734
handbag:137,1806,187,1341,747,0,1748,2551,1010,1394,557,2266,1344,2717,805,1390,2116
handbag:363,162,1598,417,2469,1748,0,828,2744,2549,1193,1289,730,1137,1625,1057,805
person:370,745,2412,1211,3285,2551,828,0,3557,3357,2005,1668,1509,979,2444,1796,1166
person:377,2811,1146,2345,277,1010,2744,3557,0,1245,1552,3048,2247,3641,1396,2186,3009
bird:443,2675,1351,2260,1130,1394,2549,3357,1245,0,1615,2295,1850,3102,934,1610,2460
person:468,1259,407,793,1279,557,1193,2005,1552,1615,0,1803,832,2172,743,967,1590
bird:470,1440,2079,1465,2784,2266,1289,1668,3048,2295,1803,0,987,929,1653,880,519
bird:490,879,1162,614,1970,1344,730,1509,2247,1850,832,987,0,1394,960,344,773
bird:491,1207,2542,1516,3364,2717,1137,979,3641,3102,2172,929,1394,0,2312,1513,648
bird:492,1745,656,1326,1137,805,1625,2444,1396,934,743,1653,960,2312,0,808,1665
bird:474,1212,1203,952,1916,1390,1057,1796,2186,1610,967,880,344,1513,808,0,865
bird:459,944,1935,1064,2734,2116,805,1166,3009,2460,1590,519,773,648,1665,865,0
