,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,person:468,bird:492,bird:474,bird:496,bird:470,bird:514
person:2,0,1541,476,2514,1791,190,744,2810,963,1208,967,883,1429,2687
person:3,1541,0,1065,973,295,1433,2286,1271,578,1053,2019,1308,2298,1303
person:5,476,1065,0,2038,1318,390,1220,2334,487,917,1181,747,1591,2237
person:119,2514,973,2038,0,743,2405,3259,301,1551,1841,2927,2189,3141,846
handbag:137,1791,295,1318,743,0,1698,2535,1027,840,1339,2312,1603,2594,1252
handbag:363,190,1433,390,2405,1698,0,869,2704,858,1021,864,694,1312,2533
person:370,744,2286,1220,3259,2535,869,0,3555,1707,1814,1038,1413,1454,3398
person:377,2810,1271,2334,301,1027,2704,3555,0,1848,2134,3227,2489,3435,945
person:468,963,578,487,1551,840,858,1707,1848,0,813,1522,886,1864,1786
bird:492,1208,1053,917,1841,1339,1021,1814,2134,813,0,1138,422,1300,1677
bird:474,967,2019,1181,2927,2312,864,1038,3227,1522,1138,0,740,467,2812
bird:496,883,1308,747,2189,1603,694,1413,2489,886,422,740,0,994,2093
bird:470,1429,2298,1591,3141,2594,1312,1454,3435,1864,1300,467,994,0,2902
bird:514,2687,1303,2237,846,1252,2533,3398,945,1786,1677,2812,2093,2902,0
