,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,bird:643,backpack:648
person:3,0,2378,2836,3179,2681,3276,1480,2364,2043,579,2040,392
person:119,2378,0,459,803,307,904,904,1637,1552,1804,815,1990
person:377,2836,459,0,358,157,466,1359,1879,1862,2261,1157,2447
person:566,3179,803,358,0,514,110,1707,2009,2045,2607,1394,2792
person:583,2681,307,157,514,0,621,1202,1817,1776,2105,1054,2291
person:587,3276,904,466,110,621,0,1808,2037,2090,2706,1458,2891
person:596,1480,904,1359,1707,1202,1808,0,1646,1404,902,880,1089
bird:554,2364,1637,1879,2009,1817,2037,1646,0,321,2020,863,2122
bird:537,2043,1552,1862,2045,1776,2090,1404,321,0,1705,738,1803
person:641,579,1804,2261,2607,2105,2706,902,2020,1705,0,1544,187
bird:643,2040,815,1157,1394,1054,1458,880,863,738,1544,0,1700
backpack:648,392,1990,2447,2792,2291,2891,1089,2122,1803,187,1700,0
