,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:808
person:648,0,883,1755,801,1985,2213,1444,1329,1238,213,1602
person:652,883,0,2638,83,2868,3096,2327,448,1059,671,1089
person:703,1755,2638,0,2557,233,465,323,3084,2663,1968,3170
handbag:723,801,83,2557,0,2786,3014,2245,528,1027,589,1099
person:778,1985,2868,233,2786,0,232,543,3314,2861,2197,3376
person:675,2213,3096,465,3014,232,0,768,3541,3060,2425,3581
person:803,1444,2327,323,2245,543,768,0,2772,2343,1656,2847
person:811,1329,448,3084,528,3314,3541,2772,0,1176,1116,980
bird:820,1238,1059,2663,1027,2861,3060,2343,1176,0,1119,547
person:838,213,671,1968,589,2197,2425,1656,1116,1119,0,1432
bird:808,1602,1089,3170,1099,3376,3581,2847,980,547,1432,0
