,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:679,bird:695
person:119,0,405,927,1022,354,1682,2444,468,2247,1121,655,2700,1432
person:377,405,0,530,628,754,2084,2846,874,2629,716,254,3093,1780
person:566,927,530,0,98,1281,2609,3371,1389,3081,222,275,3565,2195
person:587,1022,628,98,0,1376,2704,3466,1482,3160,172,373,3648,2268
person:641,354,754,1281,1376,0,1329,2091,163,1968,1471,1007,2396,1228
person:648,1682,2084,2609,2704,1329,0,762,1226,1164,2800,2337,1350,1186
person:652,2444,2846,3371,3466,2091,762,0,1986,1226,3562,3099,1081,1715
backpack:658,468,874,1389,1482,163,1226,1986,0,1809,1588,1121,2244,1066
bird:672,2247,2629,3081,3160,1968,1164,1226,1809,0,3300,2846,528,917
person:673,1121,716,222,172,1471,2800,3562,1588,3300,0,467,3781,2416
person:675,655,254,275,373,1007,2337,3099,1121,2846,467,0,3321,1976
bird:679,2700,3093,3565,3648,2396,1350,1081,2244,528,3781,3321,0,1437
bird:695,1432,1780,2195,2268,1228,1186,1715,1066,917,2416,1976,1437,0
