,person:641,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:798,bird:799,bird:802,person:803,bird:776,person:811,bird:808,bird:816
person:641,0,2552,3415,852,3325,556,326,2688,3202,2056,3799,1051,3390,3732,1677,1844
person:648,2552,0,862,1715,773,2009,2238,1062,928,1020,1606,1502,1100,1191,1202,898
person:652,3415,862,0,2578,91,2872,3101,1388,758,1687,1192,2365,785,352,1969,1684
person:703,852,1715,2578,0,2489,297,528,2018,2434,1400,3069,229,2626,2903,1054,1116
handbag:723,3325,773,91,2489,0,2782,3011,1318,714,1600,1196,2275,762,429,1879,1593
person:778,556,2009,2872,297,2782,0,231,2249,2704,1620,3326,508,2895,3195,1254,1363
person:675,326,2238,3101,528,3011,231,0,2439,2917,1806,3531,736,3108,3422,1432,1568
bird:791,2688,1062,1388,2018,1318,2249,2439,0,720,633,1138,1794,855,1518,1011,907
bird:798,3202,928,758,2434,714,2704,2917,720,0,1216,681,2205,191,810,1574,1358
bird:799,2056,1020,1687,1400,1600,1620,1806,633,1216,0,1752,1182,1390,1915,379,339
bird:802,3799,1606,1192,3069,1196,3326,3531,1138,681,1752,0,2840,506,1021,2130,1963
person:803,1051,1502,2365,229,2275,508,736,1794,2205,1182,2840,0,2397,2686,849,889
bird:776,3390,1100,785,2626,762,2895,3108,855,191,1390,506,2397,0,750,1754,1546
person:811,3732,1191,352,2903,429,3195,3422,1518,810,1915,1021,2686,750,0,2228,1958
bird:808,1677,1202,1969,1054,1879,1254,1432,1011,1574,379,2130,849,1754,2228,0,306
bird:816,1844,898,1684,1116,1593,1363,1568,907,1358,339,1963,889,1546,1958,306,0
