,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:524,bird:514,kite:492,bird:469
person:2,0,1384,373,2477,1700,2751,664,2143,2429,1022,620
person:3,1384,0,1011,1095,349,1371,721,973,1254,1985,1338
person:5,373,1011,0,2105,1329,2379,291,1797,2087,1203,621
person:119,2477,1095,2105,0,789,280,1815,946,1003,3013,2388
handbag:137,1700,349,1329,789,0,1055,1045,964,1206,2334,1687
person:377,2751,1371,2379,280,1055,0,2090,1159,1159,3292,2668
person:468,664,721,291,1815,1045,2090,0,1526,1818,1381,743
bird:524,2143,973,1797,946,964,1159,1526,0,292,2372,1831
bird:514,2429,1254,2087,1003,1206,1159,1818,292,0,2610,2095
kite:492,1022,1985,1203,3013,2334,3292,1381,2372,2610,0,650
bird:469,620,1338,621,2388,1687,2668,743,1831,2095,650,0
