,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877
person:648,0,837,1805,733,1990,2237,1469,1310,196,384,2103,1082
person:652,837,0,2643,107,2828,3075,2306,476,645,473,2941,1776
person:703,1805,2643,0,2539,185,437,346,3116,1998,2178,307,1330
handbag:723,733,107,2539,0,2723,2971,2202,577,543,378,2836,1671
person:778,1990,2828,185,2723,0,252,525,3300,2183,2363,126,1470
person:675,2237,3075,437,2971,252,0,769,3547,2431,2612,134,1660
person:803,1469,2306,346,2202,525,769,0,2778,1663,1845,634,1024
person:811,1310,476,3116,577,3300,3547,2778,0,1121,949,3413,2186
person:897,196,645,1998,543,2183,2431,1663,1121,0,188,2297,1250
handbag:838,384,473,2178,378,2363,2612,1845,949,188,0,2478,1425
person:909,2103,2941,307,2836,126,134,634,3413,2297,2478,0,1538
bird:877,1082,1776,1330,1671,1470,1660,1024,2186,1250,1425,1538,0
