,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,handbag:137,bird:195,bird:201,bird:207
person:1,0,927,2476,1597,1348,2220,2765,3389,2610,1388,2326,741
person:2,927,0,1554,669,423,1299,1843,2468,1684,953,1534,1397
person:3,2476,1554,0,890,1130,256,288,914,161,1635,850,2803
person:4,1597,669,890,0,252,640,1179,1805,1015,1100,1087,2003
person:5,1348,423,1130,252,0,875,1419,2045,1261,954,1195,1756
person:9,2220,1299,256,640,875,0,544,1169,402,1416,786,2552
person:66,2765,1843,288,1179,1419,544,0,626,190,1880,975,3080
person:119,3389,2468,914,1805,2045,1169,626,0,798,2431,1402,3678
handbag:137,2610,1684,161,1015,1261,402,190,798,0,1797,988,2954
bird:195,1388,953,1635,1100,954,1416,1880,2431,1797,0,1099,1334
bird:201,2326,1534,850,1087,1195,786,975,1402,988,1099,0,2424
bird:207,741,1397,2803,2003,1756,2552,3080,3678,2954,1334,2424,0
