,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,person:73,bird:45,bird:76,bird:79
person:1,0,851,2805,2019,1321,2335,3152,3130,3402,1041,928,1718
person:2,851,0,1958,1180,472,1491,2305,2366,2559,1079,675,1067
person:3,2805,1958,0,793,1486,472,347,959,605,2523,2168,1440
person:4,2019,1180,793,0,712,321,1138,1288,1383,1770,1391,779
person:5,1321,472,1486,712,0,1019,1833,1941,2087,1311,882,814
person:9,2335,1491,472,321,1019,0,818,1110,1067,2075,1706,1031
person:66,3152,2305,347,1138,1833,818,0,951,268,2847,2503,1746
bird:71,3130,2366,959,1288,1941,1110,951,0,932,2524,2294,1442
person:73,3402,2559,605,1383,2087,1067,268,932,0,3054,2725,1941
bird:45,1041,1079,2523,1770,1311,2075,2847,2524,3054,0,430,1119
bird:76,928,675,2168,1391,882,1706,2503,2294,2725,430,0,851
bird:79,1718,1067,1440,779,814,1031,1746,1442,1941,1119,851,0
