,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,bird:383,person:468,bird:474,bird:482,bird:470
person:2,0,1678,479,2531,1752,120,754,2794,2841,1591,1307,1501,653,1188
person:3,1678,0,1199,852,125,1617,2432,1117,1442,2705,371,874,2019,1670
person:5,479,1199,0,2051,1273,427,1233,2315,2405,1822,827,1119,945,1108
person:119,2531,852,2051,0,786,2470,3285,270,1113,3459,1223,1482,2849,2386
handbag:137,1752,125,1273,786,0,1697,2506,1044,1479,2821,450,999,2119,1792
handbag:363,120,1617,427,2470,1697,0,819,2735,2744,1523,1248,1395,592,1070
person:370,754,2432,1233,3285,2506,819,0,3548,3534,1441,2061,2163,751,1587
person:377,2794,1117,2315,270,1044,2735,3548,0,1189,3725,1487,1742,3119,2650
bird:443,2841,1442,2405,1113,1479,2744,3534,1189,0,3234,1717,1376,2913,2196
bird:383,1591,2705,1822,3459,2821,1523,1441,3725,3234,0,2411,1995,937,1080
person:468,1307,371,827,1223,450,1248,2061,1487,1717,2411,0,794,1673,1425
bird:474,1501,874,1119,1482,999,1395,2163,1742,1376,1995,794,0,1541,915
bird:482,653,2019,945,2849,2119,592,751,3119,2913,937,1673,1541,0,843
bird:470,1188,1670,1108,2386,1792,1070,1587,2650,2196,1080,1425,915,843,0
