,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:733,bird:708,bird:753,bird:757,bird:745,bird:766,bird:736
person:566,0,456,2494,3356,961,133,285,1139,3334,512,2454,2611,1439,2089,3243,2897,1839
person:641,456,0,2044,2907,509,585,175,684,2886,141,2040,2224,1117,1715,2842,2469,1471
person:648,2494,2044,0,862,1535,2626,2220,1365,841,1986,576,904,1425,971,1140,611,1069
person:652,3356,2907,862,0,2397,3489,3083,2227,22,2847,1105,1258,2206,1614,972,682,1794
person:658,961,509,1535,2397,0,1093,685,184,2376,465,1557,1771,815,1290,2368,1972,1063
person:673,133,585,2626,3489,1093,0,411,1270,3467,645,2587,2742,1564,2218,3375,3030,1969
person:675,285,175,2220,3083,685,411,0,859,3061,268,2208,2384,1252,1870,3007,2641,1624
person:703,1139,684,1365,2227,184,1270,859,0,2206,649,1429,1666,831,1211,2242,1826,1002
handbag:723,3334,2886,841,22,2376,3467,3061,2206,0,2825,1084,1240,2184,1593,963,663,1772
backpack:119,512,141,1986,2847,465,645,268,649,2825,0,1947,2117,987,1602,2742,2386,1355
bird:733,2454,2040,576,1105,1557,2587,2208,1429,1084,1947,0,343,1141,508,813,471,707
bird:708,2611,2224,904,1258,1771,2742,2384,1666,1240,2117,343,0,1210,528,649,576,777
bird:753,1439,1117,1425,2206,815,1564,1252,831,2184,987,1141,1210,0,683,1859,1613,441
bird:757,2089,1715,971,1614,1290,2218,1870,1211,1593,1602,508,528,683,0,1176,969,249
bird:745,3243,2842,1140,972,2368,3375,3007,2242,963,2742,813,649,1859,1176,0,532,1422
bird:766,2897,2469,611,682,1972,3030,2641,1826,663,2386,471,576,1613,969,532,0,1178
bird:736,1839,1471,1069,1794,1063,1969,1624,1002,1772,1355,707,777,441,249,1422,1178,0
