,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:195,bird:250,person:251,bird:254,bird:125
person:1,0,914,2498,1567,1353,2219,2771,3394,2635,2147,1123,1153,1207,747,886
person:2,914,0,1588,654,441,1311,1873,2486,1722,1418,1103,735,350,991,1458
person:3,2498,1588,0,934,1146,278,332,898,167,1030,2162,1684,1302,2319,2836
person:4,1567,654,934,0,213,658,1227,1833,1068,1022,1439,950,409,1487,1997
person:5,1353,441,1146,213,0,869,1434,2044,1281,1111,1291,818,231,1301,1806
person:9,2219,1311,278,658,869,0,575,1175,428,903,1911,1426,1024,2050,2568
person:66,2771,1873,332,1227,1434,575,0,641,325,1052,2330,1874,1565,2528,3041
person:119,3394,2486,898,1833,2044,1175,641,0,779,1643,2966,2514,2192,3169,3682
backpack:137,2635,1722,167,1068,1281,428,325,779,0,1187,2328,1848,1449,2478,2996
bird:201,2147,1418,1030,1022,1111,903,1052,1643,1187,0,1397,1036,1072,1686,2163
bird:195,1123,1103,2162,1439,1291,1911,2330,2966,2328,1397,0,493,1060,396,776
bird:250,1153,735,1684,950,818,1426,1874,2514,1848,1036,493,0,593,663,1169
person:251,1207,350,1302,409,231,1024,1565,2192,1449,1072,1060,593,0,1079,1588
bird:254,747,991,2319,1487,1301,2050,2528,3169,2478,1686,396,663,1079,0,517
bird:125,886,1458,2836,1997,1806,2568,3041,3682,2996,2163,776,1169,1588,517,0
