,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:733,bird:742,bird:745,bird:747,bird:749,bird:708,bird:720
person:566,0,596,2550,3361,961,169,289,1165,3368,648,1995,2149,2667,2726,3709,2200,3229
person:641,596,0,1956,2766,367,758,307,568,2774,132,1449,1613,2132,2160,3199,1705,2678
person:648,2550,1956,0,810,1589,2715,2263,1392,817,1908,820,828,860,568,1739,1075,1046
person:652,3361,2766,810,0,2400,3525,3074,2202,9,2718,1524,1461,1185,875,1509,1635,904
person:658,961,367,1589,2400,0,1125,674,212,2407,331,1108,1278,1794,1802,2871,1400,2328
person:673,169,758,2715,3525,1125,0,451,1326,3532,816,2164,2318,2836,2895,3875,2366,3398
person:675,289,307,2263,3074,674,451,0,875,3081,374,1732,1891,2411,2454,3466,1961,2966
person:703,1165,568,1392,2202,212,1326,875,0,2209,544,983,1159,1662,1640,2746,1314,2176
handbag:723,3368,2774,817,9,2407,3532,3081,2209,0,2725,1533,1470,1194,884,1515,1644,912
backpack:119,648,132,1908,2718,331,816,374,544,2725,0,1358,1518,2038,2081,3097,1596,2592
bird:733,1995,1449,820,1524,1108,2164,1732,983,1533,1358,0,176,685,745,1765,400,1234
bird:742,2149,1613,828,1461,1278,2318,1891,1159,1470,1518,176,0,520,631,1592,269,1083
bird:745,2667,2132,860,1185,1794,2836,2411,1662,1194,2038,685,520,0,336,1085,531,580
bird:747,2726,2160,568,875,1802,2895,2454,1640,884,2081,745,631,336,0,1204,765,547
bird:749,3709,3199,1739,1509,2871,3875,3466,2746,1515,3097,1765,1592,1085,1204,0,1509,697
bird:708,2200,1705,1075,1635,1400,2366,1961,1314,1644,1596,400,269,531,765,1509,0,1108
bird:720,3229,2678,1046,904,2328,3398,2966,2176,912,2592,1234,1083,580,547,697,1108,0
