,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:733,bird:742,bird:745,bird:747,bird:749,bird:708,bird:720
person:566,0,571,2545,3359,960,169,285,1160,3363,625,2047,2183,2745,2767,3729,2252,3298
person:641,571,0,1976,2790,392,731,286,589,2795,132,1521,1666,2229,2222,3242,1773,2772
person:648,2545,1976,0,814,1584,2707,2262,1391,818,1925,772,796,853,562,1768,1051,1113
person:652,3359,2790,814,0,2398,3522,3076,2205,7,2738,1470,1422,1120,826,1536,1593,926
person:658,960,392,1584,2398,0,1123,677,210,2403,351,1153,1305,1863,1838,2892,1442,2397
person:673,169,731,2707,3522,1123,0,445,1319,3526,793,2217,2352,2915,2936,3897,2420,3468
person:675,285,286,2262,3076,677,445,0,875,3081,357,1787,1928,2492,2498,3491,2016,3040
person:703,1160,589,1391,2205,210,1319,875,0,2209,562,1029,1187,1733,1680,2775,1357,2252
handbag:723,3363,2795,818,7,2403,3526,3081,2209,0,2743,1476,1429,1127,834,1542,1600,933
backpack:119,625,132,1925,2738,351,793,357,562,2743,0,1430,1571,2135,2143,3138,1664,2682
bird:733,2047,1521,772,1470,1153,2217,1787,1029,1476,1430,0,162,710,735,1745,409,1252
bird:742,2183,1666,796,1422,1305,2352,1928,1187,1429,1571,162,0,563,640,1588,281,1116
bird:745,2745,2229,853,1120,1863,2915,2492,1733,1127,2135,710,563,0,332,1049,564,560
bird:747,2767,2222,562,826,1838,2936,2498,1680,834,2143,735,640,332,0,1221,770,595
bird:749,3729,3242,1768,1536,2892,3897,3491,2775,1542,3138,1745,1588,1049,1221,0,1477,668
bird:708,2252,1773,1051,1593,1442,2420,2016,1357,1600,1664,409,281,564,770,1477,0,1114
bird:720,3298,2772,1113,926,2397,3468,3040,2252,933,2682,1252,1116,560,595,668,1114,0
