,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:86,bird:88
person:1,0,870,2596,1933,1340,2271,3064,3412,1490,1077
person:2,870,0,1730,1074,472,1406,2198,2550,1250,960
person:3,2596,1730,0,667,1258,325,468,822,2050,2130
person:4,1933,1074,667,0,604,343,1135,1479,1502,1509
person:5,1340,472,1258,604,0,934,1725,2078,1298,1145
person:9,2271,1406,325,343,934,0,793,1144,1785,1831
person:66,3064,2198,468,1135,1725,793,0,370,2454,2569
person:73,3412,2550,822,1479,2078,1144,370,0,2708,2860
bird:86,1490,1250,2050,1502,1298,1785,2454,2708,0,413
bird:88,1077,960,2130,1509,1145,1831,2569,2860,413,0
