,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:679
person:119,0,410,927,1021,479,1727,2423,641,1744,1121,640,2236
person:377,410,0,524,620,887,2134,2830,1050,2112,712,233,2631
person:566,927,524,0,96,1407,2655,3351,1560,2547,227,291,3102
person:587,1021,620,96,0,1500,2748,3444,1651,2622,180,386,3184
person:641,479,887,1407,1500,0,1248,1943,199,1390,1599,1119,1812
person:648,1727,2134,2655,2748,1248,0,695,1108,1100,2845,2367,991
person:652,2423,2830,3351,3444,1943,695,0,1799,1452,3540,3063,1002
backpack:658,641,1050,1560,1651,199,1108,1799,0,1193,1761,1278,1617
bird:672,1744,2112,2547,2622,1390,1100,1452,1193,0,2771,2305,641
person:673,1121,712,227,180,1599,2845,3540,1761,2771,0,483,3320
person:675,640,233,291,386,1119,2367,3063,1278,2305,483,0,2842
bird:679,2236,2631,3102,3184,1812,991,1002,1617,641,3320,2842,0
