,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,person:587,person:596,person:602,bird:554,person:578,bird:608,bird:537,bird:579
person:3,0,1523,1964,841,1479,2257,1743,2361,541,1220,2096,437,1554,1744,734
person:119,1523,0,441,2361,2043,737,220,844,991,2743,1157,1958,2974,987,1987
person:377,1964,441,0,2801,2384,310,225,423,1430,3184,1170,2399,3407,1134,2415
person:468,841,2361,2801,0,1832,3097,2581,3201,1371,386,2875,403,1009,2519,878
bird:555,1479,2043,2384,1832,0,2556,2187,2615,1612,2020,1691,1622,1616,1419,955
person:566,2257,737,310,3097,2556,0,517,113,1729,3478,1154,2694,3669,1212,2672
person:583,1743,220,225,2581,2187,517,0,624,1212,2963,1110,2178,3181,1009,2190
person:587,2361,844,423,3201,2615,113,624,0,1835,3581,1156,2798,3759,1247,2761
person:596,541,991,1430,1371,1612,1729,1212,1835,0,1754,1726,969,2068,1396,1147
person:602,1220,2743,3184,386,2020,3478,2963,3581,1754,0,3208,785,832,2852,1103
bird:554,2096,1157,1170,2875,1691,1154,1110,1156,1726,3208,0,2498,3133,356,2178
person:578,437,1958,2399,403,1622,2694,2178,2798,969,785,2498,0,1233,2142,699
bird:608,1554,2974,3407,1009,1616,3669,3181,3759,2068,832,3133,1233,0,2796,999
bird:537,1744,987,1134,2519,1419,1212,1009,1247,1396,2852,356,2142,2796,0,1830
bird:579,734,1987,2415,878,955,2672,2190,2761,1147,1103,2178,699,999,1830,0
