,handbag:2,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,bird:537,person:587,person:596,bird:599,person:602,bird:554,person:578
handbag:2,0,869,2396,2787,141,2134,3088,2590,2623,3195,1358,1564,548,2947,561
person:3,869,0,1540,1935,784,1551,2229,1733,1784,2335,509,1090,1365,2106,315
person:119,2396,1540,0,396,2322,1814,692,194,924,801,1037,1848,2905,1101,1854
person:377,2787,1935,396,0,2715,2096,316,207,1046,429,1430,2199,3300,1110,2249
person:468,141,784,2322,2715,0,1995,3013,2516,2511,3119,1286,1424,587,2835,469
bird:555,2134,1551,1814,2096,1995,0,2234,1921,1179,2290,1546,581,2372,1395,1692
person:566,3088,2229,692,316,3013,2234,0,498,1099,112,1729,2404,3594,1069,2544
person:583,2590,1733,194,207,2516,1921,498,0,932,607,1231,1999,3099,1053,2048
bird:537,2623,1784,924,1046,2511,1179,1099,932,0,1136,1426,1487,3039,323,2067
person:587,3195,2335,801,429,3119,2290,112,607,1136,0,1837,2481,3700,1074,2650
person:596,1358,509,1037,1430,1286,1546,1729,1231,1426,1837,0,1247,1871,1736,821
bird:599,1564,1090,1848,2199,1424,581,2404,1999,1487,2481,1247,0,1791,1770,1164
person:602,548,1365,2905,3300,587,2372,3594,3099,3039,3700,1871,1791,0,3360,1050
bird:554,2947,2106,1101,1110,2835,1395,1069,1053,323,1074,1736,1770,3360,0,2391
person:578,561,315,1854,2249,469,1692,2544,2048,2067,2650,821,1164,1050,2391,0
