,person:2,person:3,person:119,person:377,person:468,bird:555,person:566,bird:514,person:578,person:583,bird:537,bird:554
person:2,0,978,2447,2820,306,2216,3114,1678,758,2634,2661,2971
person:3,978,0,1474,1849,679,1481,2139,1023,219,1660,1731,2038
person:119,2447,1474,0,378,2153,1474,667,1534,1693,186,862,1021
person:377,2820,1849,378,0,2528,1731,311,1866,2068,202,977,1024
person:468,306,679,2153,2528,0,1934,2819,1402,460,2339,2356,2666
bird:555,2216,1481,1474,1731,1934,0,1851,540,1619,1558,866,1093
person:566,3114,2139,667,311,2819,1851,0,2060,2359,480,1021,971
bird:514,1678,1023,1534,1866,1402,540,2060,0,1125,1669,1213,1497
person:578,758,219,1693,2068,460,1619,2359,1125,0,1879,1934,2242
person:583,2634,1660,186,202,2339,1558,480,1669,1879,0,856,959
bird:537,2661,1731,862,977,2356,866,1021,1213,1934,856,0,309
bird:554,2971,2038,1021,1024,2666,1093,971,1497,2242,959,309,0
