,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:693,bird:679
person:119,0,404,929,1023,429,1710,2427,572,1948,1121,652,2575,2427
person:377,404,0,532,628,830,2111,2828,976,2319,718,252,2973,2818
person:566,929,532,0,97,1358,2639,3356,1493,2768,207,279,3467,3299
person:587,1023,628,97,0,1452,2733,3450,1584,2844,148,376,3552,3380
person:641,429,830,1358,1452,0,1281,1998,182,1613,1548,1080,2175,2044
person:648,1710,2111,2639,2733,1281,0,717,1157,1086,2829,2361,1103,1103
person:652,2427,2828,3356,3450,1998,717,0,1870,1334,3546,3079,808,979
backpack:658,572,976,1493,1584,182,1157,1870,0,1430,1690,1220,2007,1869
bird:672,1948,2319,2768,2844,1613,1086,1334,1430,0,2976,2530,856,610
person:673,1121,718,207,148,1548,2829,3546,1690,2976,0,469,3671,3504
person:675,652,252,279,376,1080,2361,3079,1220,2530,469,0,3207,3045
bird:693,2575,2973,3467,3552,2175,1103,808,2007,856,3671,3207,0,262
bird:679,2427,2818,3299,3380,2044,1103,979,1869,610,3504,3045,262,0
