,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,bird:383,person:468,bird:474,bird:482,bird:470,bird:487
person:2,0,1658,469,2521,1775,129,764,2785,2818,1658,1291,1416,657,1261,1043
person:3,1658,0,1188,863,156,1608,2421,1128,1445,2788,366,930,1972,1723,2047
person:5,469,1188,0,2051,1307,430,1233,2315,2391,1897,822,1057,921,1188,1183
person:119,2521,863,2051,0,754,2470,3284,268,1124,3553,1229,1575,2809,2431,2833
handbag:137,1775,156,1307,754,0,1732,2539,1012,1461,2942,490,1082,2115,1879,2199
handbag:363,129,1608,430,2470,1732,0,821,2736,2724,1576,1243,1307,570,1132,934
person:370,764,2421,1233,3284,2539,821,0,3549,3523,1475,2055,2078,802,1649,1197
person:377,2785,1128,2315,268,1012,2736,3549,0,1192,3816,1494,1832,3078,2688,3098
bird:443,2818,1445,2391,1124,1461,2724,3523,1192,0,3307,1712,1455,2850,2183,2702
bird:383,1658,2788,1897,3553,2942,1576,1475,3816,3307,0,2494,1991,1005,1145,747
person:468,1291,366,822,1229,490,1243,2055,1494,1712,2494,0,812,1632,1488,1747
bird:474,1416,930,1057,1575,1082,1307,2078,1832,1455,1991,812,0,1397,856,1302
bird:482,657,1972,921,2809,2115,570,802,3078,2850,1005,1632,1397,0,848,429
bird:470,1261,1723,1188,2431,1879,1132,1649,2688,2183,1145,1488,856,848,0,542
bird:487,1043,2047,1183,2833,2199,934,1197,3098,2702,747,1747,1302,429,542,0
