,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:679,bird:695
person:119,0,407,932,1023,378,1692,2433,520,2084,1120,656,2545,1358
person:377,407,0,532,625,782,2096,2837,926,2462,719,252,2939,1700
person:566,932,532,0,94,1310,2625,3365,1445,2916,187,279,3420,2119
person:587,1023,625,94,0,1401,2715,3455,1533,2990,99,373,3499,2188
person:641,378,782,1310,1401,0,1314,2055,183,1789,1498,1033,2213,1142
person:648,1692,2096,2625,2715,1314,0,740,1189,1112,2812,2348,1201,1216
person:652,2433,2837,3365,3455,2055,740,0,1926,1278,3553,3088,1000,1755
backpack:658,520,926,1445,1533,183,1189,1926,0,1606,1631,1172,2038,966
bird:672,2084,2462,2916,2990,1789,1112,1278,1606,0,3089,2678,576,823
person:673,1120,719,187,99,1498,2812,3553,1631,3089,0,466,3598,2286
person:675,656,252,279,373,1033,2348,3088,1172,2678,466,0,3169,1897
bird:679,2545,2939,3420,3499,2213,1201,1000,2038,576,3598,3169,0,1380
bird:695,1358,1700,2119,2188,1142,1216,1755,966,823,2286,1897,1380,0
