,person:119,person:377,person:566,person:587,person:596,person:641,person:648,person:652,backpack:658,person:667,bird:672,person:673,bird:537,person:675
person:119,0,427,885,983,627,761,1750,2436,938,1993,1164,1091,2838,615
person:377,427,0,470,576,1047,1185,2173,2859,1365,2414,1531,666,3244,197
person:566,885,470,0,109,1511,1647,2636,3321,1820,2878,1887,226,3633,273
person:587,983,576,109,0,1611,1744,2733,3419,1915,2977,1953,186,3704,378
person:596,627,1047,1511,1611,0,146,1126,1812,345,1367,909,1713,2345,1240
person:641,761,1185,1647,1744,146,0,989,1674,200,1232,839,1851,2205,1377
person:648,1750,2173,2636,2733,1126,989,0,685,825,247,1265,2839,1573,2366
person:652,2436,2859,3321,3419,1812,1674,685,0,1507,447,1829,3525,1388,3051
backpack:658,938,1365,1820,1915,345,200,825,1507,0,1072,743,2030,2007,1553
person:667,1993,2414,2878,2977,1367,1232,247,447,1072,0,1484,3080,1525,2608
bird:672,1164,1531,1887,1953,909,839,1265,1829,743,1484,0,2114,1754,1670
person:673,1091,666,226,186,1713,1851,2839,3525,2030,3080,2114,0,3859,476
bird:537,2838,3244,3633,3704,2345,2205,1573,1388,2007,1525,1754,3859,0,3401
person:675,615,197,273,378,1240,1377,2366,3051,1553,2608,1670,476,3401,0
