,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,person:4,bird:298,bird:308,bird:316
person:1,0,863,2474,1315,2194,2757,3393,2647,1743,1020,1574,2411,1714,1708
person:2,863,0,1615,453,1337,1898,2536,1784,1325,463,712,1675,1179,1089
person:3,2474,1615,0,1161,280,283,922,197,1686,1576,903,891,1440,1260
person:5,1315,453,1161,0,884,1445,2083,1332,1245,575,259,1314,1035,886
person:9,2194,1337,280,884,0,563,1199,467,1480,1299,627,839,1228,1041
person:66,2757,1898,283,1445,563,0,638,155,1892,1850,1186,993,1655,1484
person:119,3393,2536,922,2083,1199,638,0,768,2388,2466,1825,1385,2173,2022
backpack:137,2647,1784,197,1332,467,155,768,0,1877,1766,1072,1039,1633,1455
bird:201,1743,1325,1686,1245,1480,1892,2388,1877,0,868,1289,1026,253,443
person:251,1020,463,1576,575,1299,1850,2466,1766,868,0,773,1390,750,701
person:4,1574,712,903,259,627,1186,1825,1072,1289,773,0,1151,1052,877
bird:298,2411,1675,891,1314,839,993,1385,1039,1026,1390,1151,0,846,747
bird:308,1714,1179,1440,1035,1228,1655,2173,1633,253,750,1052,846,0,190
bird:316,1708,1089,1260,886,1041,1484,2022,1455,443,701,877,747,190,0
